run,best_fit
0,46.24547162909466
1,42.545263460417445
2,43.75075436943747
3,42.117324128210264
4,38.043433937633935
5,40.04699589172732
6,41.760056469216636
7,37.26573166256745
8,45.60530770635176
9,45.564523588653074
