run,best_fit
0,6472.103103388414
1,8487.475007911515
2,8293.614037049048
3,6375.545181293248
4,7975.451398172558
5,6454.029915157615
6,6670.177126112121
7,6875.204905386232
8,7801.222419598012
9,6930.955077761062
