run,best_fit
0,226.39703259615146
1,215.5126541417859
2,206.6694459080809
3,227.18798678737397
4,201.5819850268531
5,203.86127661174532
6,203.23922116659628
7,214.48417636779533
8,214.40621702021295
9,210.4335346986787
