run,best_fit
0,5027.2746252928855
1,4616.140362807246
2,4750.083818826369
3,4568.591569806157
4,4115.937102315393
5,4338.555099057529
6,4528.89516323298
7,4029.5257437262935
8,4956.14530071422
9,4951.613731980383
